gasDayStart,gasInStorage,workingGasVolume,full,trend
2022-01-01,600.4245,1116.5841,53.77,0.0
2022-01-02,600.4137,1116.6065,53.77,-0.0
2022-01-03,598.9044,1116.6231,53.64,-0.14
2022-01-04,596.1655,1116.6231,53.39,-0.25
2022-01-05,591.8799,1116.6231,53.01,-0.38
2022-01-06,587.5168,1116.6231,52.62,-0.39
2022-01-07,581.7404,1116.6231,52.1,-0.52
2022-01-08,576.9609,1116.6231,51.67,-0.43
2022-01-09,572.1768,1116.6231,51.24,-0.43
2022-01-10,564.0221,1116.7573,50.51,-0.73
2022-01-11,555.9013,1116.8081,49.78,-0.73
2022-01-12,547.6744,1116.8081,49.04,-0.74
2022-01-13,539.756,1116.8081,48.33,-0.71
2022-01-14,531.8066,1116.8081,47.62,-0.71
2022-01-15,525.5723,1116.8081,47.06,-0.56
2022-01-16,520.0626,1116.8081,46.57,-0.49
2022-01-17,512.875,1116.7081,45.93,-0.64
2022-01-18,505.119,1116.7081,45.23,-0.69
2022-01-19,498.1384,1116.7081,44.61,-0.63
2022-01-20,490.8656,1116.7081,43.96,-0.65
2022-01-21,483.1578,1116.7081,43.27,-0.69
2022-01-22,476.6819,1116.7081,42.69,-0.58
2022-01-23,470.5199,1116.7081,42.13,-0.55
2022-01-24,462.7379,1116.6861,41.44,-0.7
2022-01-25,454.6487,1116.6861,40.71,-0.72
2022-01-26,447.0515,1116.6861,40.03,-0.68
2022-01-27,440.4757,1116.6861,39.44,-0.59
2022-01-28,434.2103,1116.6861,38.88,-0.56
2022-01-29,430.2332,1116.6861,38.53,-0.36
2022-01-30,426.3531,1116.6861,38.18,-0.35
2022-01-31,420.2242,1116.6739,37.63,-0.55
2022-02-01,415.2835,1116.6739,37.19,-0.44
2022-02-02,410.4205,1116.6739,36.75,-0.44
2022-02-03,405.8298,1116.6739,36.34,-0.41
2022-02-04,402.0459,1116.6739,36.0,-0.34
2022-02-05,399.3311,1116.6739,35.76,-0.24
2022-02-06,396.8214,1116.6739,35.54,-0.22
2022-02-07,392.4174,1116.6749,35.14,-0.39
2022-02-08,388.3226,1116.6749,34.77,-0.37
2022-02-09,384.4337,1116.6749,34.43,-0.35
2022-02-10,379.8319,1116.6749,34.01,-0.41
2022-02-11,375.1295,1116.6749,33.59,-0.42
2022-02-12,371.3088,1116.6749,33.25,-0.34
2022-02-13,368.3807,1116.6749,32.99,-0.26
2022-02-14,364.4237,1116.6725,32.63,-0.35
2022-02-15,360.3072,1116.6725,32.27,-0.37
2022-02-16,356.9757,1116.6725,31.97,-0.3
2022-02-17,354.4056,1116.6725,31.74,-0.23
2022-02-18,351.7258,1116.6725,31.5,-0.24
2022-02-19,349.2588,1116.6725,31.28,-0.22
2022-02-20,347.3623,1116.6725,31.11,-0.17
2022-02-21,343.7363,1116.6725,30.78,-0.32
2022-02-22,340.0494,1116.6725,30.45,-0.33
2022-02-23,336.967,1116.6725,30.18,-0.28
2022-02-24,334.1767,1116.6725,29.93,-0.25
2022-02-25,331.4167,1116.6725,29.68,-0.25
2022-02-26,329.5142,1116.6725,29.51,-0.17
2022-02-27,327.7781,1116.6725,29.35,-0.16
2022-02-28,323.9264,1116.671,29.01,-0.34
2022-03-01,320.018,1116.671,28.66,-0.35
2022-03-02,316.3522,1116.671,28.33,-0.33
2022-03-03,312.9677,1116.671,28.03,-0.3
2022-03-04,309.9788,1116.671,27.76,-0.27
2022-03-05,307.9094,1116.671,27.57,-0.19
2022-03-06,305.5945,1116.671,27.37,-0.21
2022-03-07,301.3755,1116.671,26.99,-0.38
2022-03-08,297.842,1116.671,26.67,-0.32
2022-03-09,295.1212,1116.671,26.43,-0.24
2022-03-10,294.1433,1116.671,26.34,-0.09
2022-03-11,292.9763,1116.671,26.24,-0.1
2022-03-12,292.9924,1116.671,26.24,0.0
2022-03-13,292.9607,1116.671,26.24,-0.0
2022-03-14,290.9945,1116.67,26.06,-0.18
2022-03-15,289.226,1116.6785,25.9,-0.16
2022-03-16,288.0839,1116.6785,25.8,-0.1
2022-03-17,287.1092,1116.6785,25.71,-0.09
2022-03-18,286.4804,1116.6785,25.65,-0.06
2022-03-19,285.4293,1116.6785,25.56,-0.09
2022-03-20,287.6582,1116.6785,25.76,0.2
2022-03-21,287.0232,1116.6766,25.7,-0.06
2022-03-22,287.0366,1116.6766,25.7,0.0
2022-03-23,287.473,1116.6766,25.74,0.04
2022-03-24,288.8328,1116.6766,25.87,0.12
2022-03-25,290.2077,1116.6766,25.99,0.12
2022-03-26,292.6377,1115.6069,26.23,0.22
2022-03-27,295.2473,1116.6766,26.44,0.23
2022-03-28,296.4385,1116.6859,26.55,0.11
2022-03-29,297.5422,1116.6859,26.65,0.1
2022-03-30,297.8521,1116.6859,26.67,0.03
2022-03-31,293.761,1113.9859,26.37,-0.37
2022-04-01,293.897,1107.3653,26.54,0.01
2022-04-02,293.4023,1107.1829,26.5,-0.04
2022-04-03,292.7519,1106.8083,26.45,-0.06
2022-04-04,291.7666,1106.8083,26.36,-0.09
2022-04-05,291.2176,1106.8083,26.31,-0.05
2022-04-06,292.5942,1106.8083,26.44,0.12
2022-04-07,294.2388,1106.9859,26.58,0.15
2022-04-08,295.9217,1105.7691,26.76,0.15
2022-04-09,297.9926,1105.7691,26.95,0.19
2022-04-10,300.3703,1105.7691,27.16,0.22
2022-04-11,301.6242,1105.7681,27.28,0.11
2022-04-12,304.1278,1105.7681,27.5,0.23
2022-04-13,307.0514,1105.7681,27.77,0.26
2022-04-14,310.4633,1105.7681,28.08,0.31
2022-04-15,315.2153,1106.3905,28.49,0.43
2022-04-16,319.9148,1106.3905,28.92,0.42
2022-04-17,324.7294,1106.3905,29.35,0.44
2022-04-18,329.2962,1106.39,29.76,0.41
2022-04-19,332.4172,1106.39,30.05,0.28
2022-04-20,335.1868,1106.39,30.3,0.25
2022-04-21,338.2845,1107.537,30.54,0.28
2022-04-22,341.8817,1107.537,30.87,0.32
2022-04-23,346.3989,1107.537,31.28,0.41
2022-04-24,351.0869,1107.537,31.7,0.42
2022-04-25,354.0308,1107.5477,31.97,0.27
2022-04-26,356.3135,1107.5477,32.17,0.21
2022-04-27,358.4407,1103.0415,32.5,0.19
2022-04-28,361.4656,1103.0415,32.77,0.27
2022-04-29,364.7967,1103.0415,33.07,0.3
2022-04-30,368.7328,1101.606,33.47,0.36
2022-05-01,373.7964,1103.838,33.86,0.46
2022-05-02,378.1233,1103.8585,34.25,0.39
2022-05-03,382.5679,1103.8585,34.66,0.4
2022-05-04,386.9052,1103.8585,35.05,0.39
2022-05-05,391.4184,1103.8585,35.46,0.41
2022-05-06,396.1074,1103.8585,35.88,0.42
2022-05-07,401.8442,1103.8585,36.4,0.52
2022-05-08,407.5155,1103.8585,36.92,0.51
2022-05-09,412.3347,1103.8595,37.35,0.44
2022-05-10,416.9331,1103.8595,37.77,0.42
2022-05-11,421.8772,1103.8595,38.22,0.45
2022-05-12,426.6538,1103.8595,38.65,0.43
2022-05-13,432.2637,1102.7513,39.2,0.51
2022-05-14,438.4219,1102.7513,39.76,0.56
2022-05-15,444.8755,1102.7513,40.34,0.59
2022-05-16,449.6483,1102.7713,40.77,0.43
2022-05-17,454.0455,1102.7713,41.17,0.4
2022-05-18,458.4326,1102.7503,41.57,0.4
2022-05-19,463.2931,1102.7503,42.01,0.44
2022-05-20,468.4334,1102.7503,42.48,0.47
2022-05-21,474.3776,1102.7503,43.02,0.54
2022-05-22,480.2333,1102.7503,43.55,0.53
2022-05-23,485.0387,1102.7664,43.98,0.44
2022-05-24,489.708,1102.7664,44.41,0.42
2022-05-25,494.729,1102.7664,44.86,0.46
2022-05-26,500.0618,1102.7664,45.35,0.48
2022-05-27,505.3683,1102.7664,45.83,0.48
2022-05-28,510.7558,1102.7664,46.32,0.49
2022-05-29,515.9441,1102.7664,46.79,0.47
2022-05-30,519.5383,1102.784,47.11,0.33
