issue_date,date,missing_cols
2021-12-31,2022-01-03,"['gasInStorage', 'workingGasVolume', 'full', 'trend', 'issue_date_price', 'log_vol_lag1', 'log_vol_lag5', 'log_vol_lag22', 'future_log_vol_5d', 'daily_rv', 'log_daily_rv', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'month_10', 'month_11', 'month_12']"
2022-01-01,2022-01-04,"['issue_date_price', 'log_vol_lag1', 'log_vol_lag5', 'log_vol_lag22', 'future_log_vol_5d', 'daily_rv', 'log_daily_rv', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'month_10', 'month_11', 'month_12']"
2022-01-02,2022-01-05,"['issue_date_price', 'log_vol_lag1', 'log_vol_lag5', 'log_vol_lag22', 'future_log_vol_5d', 'daily_rv', 'log_daily_rv', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'month_10', 'month_11', 'month_12']"
2022-01-03,2022-01-06,"['log_vol_lag1', 'log_vol_lag5', 'log_vol_lag22', 'daily_rv', 'log_daily_rv']"
2022-01-04,2022-01-07,"['log_vol_lag1', 'log_vol_lag5', 'log_vol_lag22']"
2022-01-07,2022-01-10,"['log_vol_lag5', 'log_vol_lag22']"
2022-01-08,2022-01-11,"['log_vol_lag5', 'log_vol_lag22']"
2022-01-09,2022-01-12,"['log_vol_lag5', 'log_vol_lag22']"
2022-01-10,2022-01-13,"['log_vol_lag5', 'log_vol_lag22']"
2022-01-11,2022-01-14,['log_vol_lag22']
2022-01-15,2022-01-18,['log_vol_lag22']
2022-01-16,2022-01-19,['log_vol_lag22']
2022-01-17,2022-01-20,['log_vol_lag22']
2022-01-18,2022-01-21,['log_vol_lag22']
2022-01-21,2022-01-24,['log_vol_lag22']
2022-01-22,2022-01-25,['log_vol_lag22']
2022-01-23,2022-01-26,['log_vol_lag22']
2022-01-24,2022-01-27,['log_vol_lag22']
2022-01-25,2022-01-28,['log_vol_lag22']
2022-01-28,2022-01-31,['log_vol_lag22']
2022-01-29,2022-02-01,['log_vol_lag22']
2022-01-30,2022-02-02,['log_vol_lag22']
2022-01-31,2022-02-03,['log_vol_lag22']
2022-02-01,2022-02-04,['log_vol_lag22']
2023-12-30,2024-01-02,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2023-12-31,2024-01-03,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-01,2024-01-04,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-02,2024-01-05,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-05,2024-01-08,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-06,2024-01-09,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-07,2024-01-10,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-08,2024-01-11,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-09,2024-01-12,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-13,2024-01-16,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-14,2024-01-17,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-15,2024-01-18,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2024-01-16,2024-01-19,"['forecast_temp', 'forecast_error', 'abs_forecast_error']"
2025-12-23,2025-12-26,['future_log_vol_5d']
2025-12-26,2025-12-29,['future_log_vol_5d']
2025-12-27,2025-12-30,['future_log_vol_5d']
